timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 11:31:53,"$115,127.75",$2.29T,$59.96B,19.94M BTC,2.16% (24h),82%,18%
2025-10-27 11:38:22,"$115,135.81",$2.29T,$59.75B,19.94M BTC,2.34% (24h),82%,18%
2025-10-27 05:58:47,"$115,261.57",$2.29T,$58.43B,19.94M BTC,2.47% (24h),82%,18%
2025-10-27 06:19:57,"$115,456.25",$2.3T,$59.42B,19.94M BTC,2.76% (24h),82%,18%
2025-10-27 06:43:12,"$115,476.54",$2.3T,$58.52B,19.94M BTC,2.71% (24h),82%,18%
2025-10-27 06:55:41,"$115,440.77",$2.3T,$59.45B,19.94M BTC,2.62% (24h),82%,18%
2025-10-27 07:12:35,"$115,454.31",$2.3T,$59.53B,19.94M BTC,2.6% (24h),82%,18%
2025-10-27 07:30:42,"$115,303.47",$2.29T,$58.69B,19.94M BTC,2.31% (24h),82%,18%
2025-10-27 07:40:28,"$115,449.17",$2.3T,$58.57B,19.94M BTC,2.22% (24h),82%,18%
2025-10-27 07:47:54,"$115,419.07",$2.3T,$59B,19.94M BTC,1.93% (24h),82%,18%
2025-10-27 07:55:09,"$115,336.83",$2.29T,$58.48B,19.94M BTC,1.91% (24h),82%,18%
2025-10-27 08:25:06,"$115,268.04",$2.29T,$57.62B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 09:07:39,"$115,189.83",$2.29T,$57.01B,19.94M BTC,1.55% (24h),82%,18%
2025-10-27 09:41:00,"$114,766.60",$2.28T,$55.92B,19.94M BTC,1.01% (24h),82%,18%
2025-10-27 09:54:34,"$115,319.35",$2.29T,$58.13B,19.94M BTC,1.47% (24h),82%,18%
2025-10-27 10:13:33,"$114,743.01",$2.28T,$57.62B,19.94M BTC,0.87% (24h),82%,18%
2025-10-27 10:36:55,"$114,898.13",$2.29T,$58.17B,19.94M BTC,0.93% (24h),82%,18%
2025-10-27 10:50:01,"$114,837.10",$2.28T,$58.22B,19.94M BTC,0.9% (24h),82%,18%
2025-10-27 10:54:32,"$114,725.62",$2.28T,$58.22B,19.94M BTC,1.01% (24h),82%,18%
2025-10-27 11:14:30,"$114,978.79",$2.29T,$59.17B,19.94M BTC,1.27% (24h),82%,18%
2025-10-27 11:34:10,"$115,137.79",$2.29T,$59.7B,19.94M BTC,1.42% (24h),82%,18%
2025-10-27 11:47:47,"$114,965.17",$2.29T,$60.89B,19.94M BTC,1.29% (24h),82%,18%
2025-10-27 11:55:05,"$114,930.08",$2.29T,$61.03B,19.94M BTC,1.11% (24h),82%,18%
2025-10-27 12:16:42,"$115,290.92",$2.29T,$60.17B,19.94M BTC,1.65% (24h),82%,18%
2025-10-27 12:43:54,"$115,482.92",$2.3T,$61.82B,19.94M BTC,1.7% (24h),82%,18%
2025-10-27 12:59:21,"$115,511.78",$2.3T,$60.87B,19.94M BTC,1.72% (24h),82%,18%
2025-10-27 13:16:03,"$115,534.40",$2.3T,$62B,19.94M BTC,1.66% (24h),82%,18%
2025-10-27 13:33:18,"$115,428.95",$2.3T,$61.1B,19.94M BTC,1.56% (24h),82%,18%
2025-10-27 13:45:37,"$115,571.04",$2.3T,$62.31B,19.94M BTC,1.77% (24h),82%,18%
2025-10-27 13:54:05,"$115,584.26",$2.3T,$62.4B,19.94M BTC,1.82% (24h),82%,18%
2025-10-27 14:19:14,"$115,658.73",$2.3T,$61.65B,19.94M BTC,1.84% (24h),82%,18%
2025-10-27 14:46:06,"$115,489.75",$2.3T,$61.79B,19.94M BTC,1.58% (24h),82%,18%
2025-10-27 14:57:30,"$115,351.37",$2.3T,$61.85B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 15:11:24,"$115,169.75",$2.29T,$62.01B,19.94M BTC,1.41% (24h),82%,18%
2025-10-27 15:25:47,"$115,074.30",$2.29T,$62.73B,19.94M BTC,1.26% (24h),82%,18%
